"DateTime","Bus","Generation (MW)","Load (MW)","Price ($/MWh)","Revenue ($)","Cost ($)","Deficit(MW)","Surplus(MW)"
"20-OCT-2013 07:30","369",0.00,0.00,10.04,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","373",0.00,16.10,9.79,0.00,78.81,0.00,0.00
"20-OCT-2013 07:30","374",0.00,0.17,9.79,0.00,0.84,0.00,0.00
"20-OCT-2013 07:30","375",0.00,0.00,9.76,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","376",0.00,0.00,9.76,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","377",0.00,0.00,9.76,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","378",0.00,0.00,9.74,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","379",0.00,0.00,9.77,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","380",0.00,8.37,9.74,0.00,40.76,0.00,0.00
"20-OCT-2013 07:30","381",0.00,0.00,9.74,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","382",0.00,0.00,9.74,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","383",0.00,-1.14,9.76,0.00,-5.56,0.00,0.00
"20-OCT-2013 07:30","384",0.00,0.00,9.75,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","385",0.00,0.00,9.75,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","386",0.00,0.00,9.86,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","387",0.00,17.11,9.86,0.00,84.37,0.00,0.00
"20-OCT-2013 07:30","388",0.00,0.00,9.85,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","389",0.00,0.00,9.85,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","390",0.00,9.51,9.81,0.00,46.62,0.00,0.00
"20-OCT-2013 07:30","391",0.00,0.00,9.80,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","392",0.00,0.00,9.80,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","393",0.00,3.37,10.30,0.00,17.33,0.00,0.00
"20-OCT-2013 07:30","394",0.00,0.00,10.29,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","395",0.00,1.51,10.35,0.00,7.82,0.00,0.00
"20-OCT-2013 07:30","396",0.00,0.00,10.33,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","397",0.00,3.01,10.31,0.00,15.50,0.00,0.00
"20-OCT-2013 07:30","398",0.00,0.00,10.30,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","399",0.00,0.00,10.30,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","400",0.00,3.88,10.09,0.00,19.54,0.00,0.00
"20-OCT-2013 07:30","401",0.00,0.00,10.06,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","402",0.00,27.53,9.72,0.00,133.82,0.00,0.00
"20-OCT-2013 07:30","403",0.00,2.44,9.72,0.00,11.87,0.00,0.00
"20-OCT-2013 07:30","404",0.00,0.00,9.70,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","405",0.00,1.90,9.69,0.00,9.19,0.00,0.00
"20-OCT-2013 07:30","406",0.00,-59.03,9.68,0.00,-285.73,0.00,0.00
"20-OCT-2013 07:30","407",0.00,13.48,9.87,0.00,66.49,0.00,0.00
"20-OCT-2013 07:30","408",0.00,0.00,9.85,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","409",0.00,10.43,10.12,0.00,52.77,0.00,0.00
"20-OCT-2013 07:30","410",0.00,0.00,10.10,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","411",0.00,0.00,10.10,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","412",0.00,0.00,9.68,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","413",0.00,0.00,9.68,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","414",0.00,0.00,9.76,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","415",0.00,0.00,9.79,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","416",0.00,0.00,9.79,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","417",0.00,0.00,9.76,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","418",0.00,0.00,9.76,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","419",0.00,0.00,9.74,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","420",0.00,-80.37,9.74,0.00,-391.27,0.00,0.00
"20-OCT-2013 07:30","421",0.00,0.00,9.74,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","422",0.00,7.15,9.67,0.00,34.56,0.00,0.00
"20-OCT-2013 07:30","423",0.00,61.73,9.65,0.00,297.80,0.00,0.00
"20-OCT-2013 07:30","424",0.00,0.00,9.64,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","425",0.00,0.00,9.63,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","426",0.00,0.00,9.63,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","427",0.00,23.19,9.66,0.00,111.97,0.00,0.00
"20-OCT-2013 07:30","428",0.00,0.00,9.64,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","429",0.00,0.00,9.64,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","430",0.00,5.13,9.76,0.00,25.03,0.00,0.00
"20-OCT-2013 07:30","431",0.00,0.00,9.74,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","432",0.00,0.00,9.74,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","433",0.00,0.00,9.61,0.00,0.00,0.00,0.00
