"DateTime","Branch","FromBus","ToBus","Flow (MW) (From->To)","Capacity (MW)","DynamicLoss (MW)","FixedLoss (MW)","FromBusPrice ($/MWh)","ToBusPrice ($/MWh)","BranchPrice ($/MWh)","BranchRentals ($)"
"20-OCT-2013 07:30","ROX_T2.T2","738","730",-32.80,2000.00,0.00,0.00,9.02,9.02,0.00,0.00
"20-OCT-2013 07:30","ROX_T3.T3","738","729",-32.80,2000.00,0.00,0.00,9.02,9.02,0.00,0.00
"20-OCT-2013 07:30","ROX_T4.T4","738","732",-32.80,2000.00,0.00,0.00,9.02,9.02,0.00,0.00
"20-OCT-2013 07:30","ROX_T5.T5","738","727",-32.80,2000.00,0.00,0.00,9.02,9.02,0.00,0.00
"20-OCT-2013 07:30","ROX_T6.T6","737","735",-33.33,2000.00,0.00,0.00,8.90,8.90,0.00,0.00
"20-OCT-2013 07:30","ROX_T7.T7","737","734",-33.33,2000.00,0.00,0.00,8.90,8.90,0.00,0.00
"20-OCT-2013 07:30","ROX_T8.T8","737","733",-33.33,2000.00,0.00,0.00,8.90,8.90,0.00,0.00
"20-OCT-2013 07:30","ROX_TMH1.1","738","741",64.66,429.83,0.45,0.00,9.02,9.07,0.00,-0.21
"20-OCT-2013 07:30","ROX_TMH2.1","738","741",64.66,429.83,0.45,0.00,9.02,9.07,0.00,-0.21
"20-OCT-2013 07:30","RPO_T5.T5","363","362",-51.00,2000.00,0.00,0.00,9.66,9.66,0.00,0.00
"20-OCT-2013 07:30","RPO_T6.T6","363","361",-51.00,2000.00,0.00,0.00,9.66,9.66,0.00,0.00
"20-OCT-2013 07:30","RPO_TNG1.1","363","404",54.31,266.35,0.27,0.00,9.66,9.70,0.00,-0.27
"20-OCT-2013 07:30","RPO_WRK1.1","363","229",47.69,380.67,0.43,0.00,9.66,9.76,0.00,0.31
"20-OCT-2013 07:30","SBK_T1.T1","543","542",10.31,46.59,0.01,0.02,9.52,9.54,0.00,-0.09
"20-OCT-2013 07:30","SBK_T2.T2","543","542",10.31,46.59,0.01,0.02,9.52,9.54,0.00,-0.09
"20-OCT-2013 07:30","SBK_WPR.1","543","547",-8.33,42.41,0.12,0.00,9.52,9.40,0.00,-0.06
"20-OCT-2013 07:30","SDN_T1.T1","740","739",14.86,81.30,0.01,0.06,9.09,9.09,0.00,-0.29
"20-OCT-2013 07:30","SDN_T2.T2","740","739",9.46,81.30,0.01,0.04,9.09,9.09,0.00,-0.19
"20-OCT-2013 07:30","SDN_TMH.1","740","741",-21.34,352.00,0.02,0.00,9.09,9.07,0.00,0.03
"20-OCT-2013 07:30","SFD_SPL.1","350","352",0.00,2000.00,0.00,0.00,9.93,9.93,0.00,0.00
"20-OCT-2013 07:30","SFD_T10.T10","350","349",11.29,135.00,0.01,0.11,9.93,9.93,0.00,-0.57
"20-OCT-2013 07:30","SFD_T21.T21","350","347",0.00,2000.00,0.00,0.00,9.93,9.93,0.00,0.00
"20-OCT-2013 07:30","SFD_T22.T22","350","346",0.00,2000.00,0.00,0.00,9.93,9.93,0.00,0.00
"20-OCT-2013 07:30","SFD_T5.T5","349","348",9.18,23.20,0.03,0.06,9.93,10.01,0.00,-0.13
"20-OCT-2013 07:30","SFD_T6.T6","349","348",9.19,23.20,0.03,0.06,9.93,10.01,0.00,-0.13
"20-OCT-2013 07:30","SFD_TMN1.1","350","401",37.38,455.36,0.60,0.00,9.93,10.06,0.00,-0.65
"20-OCT-2013 07:30","SPL_T10.T10","352","351",0.00,2000.00,0.00,0.00,9.93,9.93,0.00,0.00
"20-OCT-2013 07:30","SPN_T1.T1","545","544",10.62,69.00,0.02,0.02,9.43,9.44,0.00,-0.09
"20-OCT-2013 07:30","SPN_T2.T2","545","544",10.62,69.00,0.02,0.02,9.43,9.44,0.00,-0.09
"20-OCT-2013 07:30","STK_T10.T10","511","505",22.65,136.00,0.02,0.03,9.62,9.63,0.00,-0.16
"20-OCT-2013 07:30","STK_T3.L3","801","509",0.00,14.10,0.00,0.00,9.65,9.65,0.00,0.00
"20-OCT-2013 07:30","STK_T3.M3","507","509",-12.84,28.00,0.01,0.00,9.67,9.65,0.00,0.07
"20-OCT-2013 07:30","STK_T3.T3","510","509",12.86,30.90,0.00,0.05,9.65,9.65,0.00,-0.23
"20-OCT-2013 07:30","STK_T6.T6","511","505",22.62,136.00,0.02,0.03,9.62,9.63,0.00,-0.16
"20-OCT-2013 07:30","STK_T7.L7","503","508",0.00,24.00,0.00,0.00,9.65,9.65,0.00,0.00
"20-OCT-2013 07:30","STK_T7.M7","510","508",-22.25,158.80,0.01,0.00,9.65,9.65,0.00,-0.02
"20-OCT-2013 07:30","STK_T7.T7","511","508",22.27,180.00,0.00,0.04,9.62,9.65,0.00,0.04
"20-OCT-2013 07:30","STK_T8.T8","511","505",14.54,57.07,0.01,0.09,9.62,9.63,0.00,-0.42
"20-OCT-2013 07:30","STK_UTK1.1","766","507",-4.16,32.00,0.06,0.00,9.82,9.67,0.00,0.00
"20-OCT-2013 07:30","STK_UTK1.2","766","512",4.10,23.00,0.04,0.00,9.82,9.91,0.00,0.00
"20-OCT-2013 07:30","STU_T5.T5","663","664",-3.12,11.50,0.01,0.04,9.34,9.32,0.00,-0.18
"20-OCT-2013 07:30","STU_T6.T6","663","664",-3.13,11.50,0.01,0.04,9.34,9.32,0.00,-0.18
"20-OCT-2013 07:30","STU_TIM.1","664","571",8.60,53.92,0.11,0.00,9.32,9.28,0.00,-0.68
